Product,Capacity,Length,Width,Thickness,Voltage
LP223843,300,43,38,2.2,3.7
LP224243,400,43,42,2.2,3.7
LP223355,420,55,33,2.2,3.7
LP224747,430,47,47,2.2,3.7
LP223656,600,56,36,2.2,3.7
LP224269,760,69,42,2.2,3.7
LP225782,1050,82,57,2.2,3.7
LP226093,1280,93,60,2.2,3.7
LP226693,1350,93,66,2.2,3.7
LP2275113,2180,113,75,2.2,3.7
LP231024,30,24,10,2.3,3.7
LP231123,30,23,11,2.3,3.7
LP231815,30,15,18,2.3,3.7
LP233035,200,35,30,2.3,3.7
LP232084,250,84,20,2.3,3.7
LP232575,300,75,25,2.3,3.7
LP233045,300,45,30,2.3,3.7
LP233545,300,45,35,2.3,3.7
LP233837,300,37,38,2.3,3.7
LP233542,320,42,35,2.3,3.7
LP233842,360,42,38,2.3,3.7
LP233075,390,75,30,2.3,3.7
LP233555,420,55,35,2.3,3.7
LP233654,500,54,36,2.3,3.7
LP2367110,1250,110,67,2.3,3.7
LP2358108,1700,108,58,2.3,3.7
LP238899,2400,99,88,2.3,3.7
LP2310589,2500,89,105,2.3,3.7
LP2390101,2500,101,90,2.3,3.7
LP2310590,2600,90,105,2.3,3.7
LP23102111,3100,111,102,2.3,3.7
LP2382138,3100,138,82,2.3,3.7
LP241620,50,20,16,2.4,3.7
LP241624,60,24,16,2.4,3.7
LP241825,72,25,18,2.4,3.7
LP242025,85,25,20,2.4,3.7
LP243024,90,24,30,2.4,3.7
LP241838,100,38,18,2.4,3.7
LP242530,130,30,25,2.4,3.7
LP241764,200,64,17,2.4,3.7
LP243530,235,30,35,2.4,3.7
LP243439,250,39,34,2.4,3.7
LP243843,360,43,38,2.4,3.7
LP244753,500,53,47,2.4,3.7
LP245064,800,64,50,2.4,3.7
LP2463104,1800,104,63,2.4,3.7
LP2462113,2000,113,62,2.4,3.7
LP2474130,2700,130,74,2.4,3.7
LP24100113,3100,113,100,2.4,3.7
LP250816,15,16,8,2.5,3.7
LP251015,15,15,10,2.5,3.7
LP251212,15,12,12,2.5,3.7
LP251019,26,19,10,2.5,3.7
LP251314,28,14,13,2.5,3.7
LP251320,40,20,13,2.5,3.7
LP251328,65,28,13,2.5,3.7
LP251330,65,30,13,2.5,3.7
LP251524,75,24,15,2.5,3.7
LP252025,75,25,20,2.5,3.7
LP251530,80,30,15,2.5,3.7
LP251928,85,28,19,2.5,3.7
LP251730,90,30,17,2.5,3.7
LP252225,95,25,22,2.5,3.7
LP252030,110,30,20,2.5,3.7
LP251445,120,45,14,2.5,3.7
LP251744,130,44,17,2.5,3.7
LP252038,150,38,20,2.5,3.7
LP252144,200,44,21,2.5,3.7
LP254620,200,20,46,2.5,3.7
LP253041,280,41,30,2.5,3.7
LP253040,300,40,30,2.5,3.7
LP253836,300,36,38,2.5,3.7
LP253242,320,42,32,2.5,3.7
LP253549,350,49,35,2.5,3.7
LP253347,400,47,33,2.5,3.7
LP253741,400,41,37,2.5,3.7
LP254337,400,37,43,2.5,3.7
LP253747,420,47,37,2.5,3.7
LP253658,450,58,36,2.5,3.7
LP253058,500,58,30,2.5,3.7
LP253450,500,50,34,2.5,3.7
LP253959,500,59,39,2.5,3.7
LP254262,780,62,42,2.5,3.7
LP256258,1000,58,62,2.5,3.7
LP255794,1600,94,57,2.5,3.7
LP2560117,2100,117,60,2.5,3.7
LP258594,2300,94,85,2.5,3.7
LP259793,2700,93,97,2.5,3.7
LP25109132,3500,132,109,2.5,3.7
LP25100150,3800,150,100,2.5,3.7
LP2580158,3850,158,80,2.5,3.7
LP2589135,4050,135,89,2.5,3.7
LP261522,50,22,15,2.6,3.7
LP261325,52,25,13,2.6,3.7
LP262717,70,17,27,2.6,3.7
LP261627,85,27,16,2.6,3.7
LP262022,85,22,20,2.6,3.7
LP262030,90,30,20,2.6,3.7
LP263028,140,28,30,2.6,3.7
LP261847,160,47,18,2.6,3.7
LP262535,180,35,25,2.6,3.7
LP261755,200,55,17,2.6,3.7
LP261943,210,43,19,2.6,3.7
LP263247,330,47,32,2.6,3.7
LP263545,380,45,35,2.6,3.7
LP263178,650,78,31,2.6,3.7
LP2626124,1000,124,26,2.6,3.7
LP268497,2000,97,84,2.6,3.7
LP269983,2500,83,99,2.6,3.7
LP269099,2700,99,90,2.6,3.7
LP2692100,2800,100,92,2.6,3.7
LP2670153,3300,153,70,2.6,3.7
LP2692115,3300,115,92,2.6,3.7
LP2691121,3400,121,91,2.6,3.7
LP2690145,4000,145,90,2.6,3.7
LP26125135,4500,135,125,2.6,3.7
LP26108143,5000,143,108,2.6,3.7
LP271414,20,14,14,2.7,3.7
LP271015,22,15,10,2.7,3.7
LP270829,50,29,8,2.7,3.7
LP271244,90,44,12,2.7,3.7
LP272250,250,50,22,2.7,3.7
LP272828,250,28,28,2.7,3.7
LP272247,260,47,22,2.7,3.7
LP273048,280,48,30,2.7,3.7
LP273034,290,34,30,2.7,3.7
LP274330,300,30,43,2.7,3.7
LP274430,300,30,44,2.7,3.7
LP272654,330,54,26,2.7,3.7
LP273842,400,42,38,2.7,3.7
LP274462,850,62,44,2.7,3.7
LP278494,2500,94,84,2.7,3.7
LP278589,2800,89,85,2.7,3.7
LP2772127,2900,127,72,2.7,3.7
LP2710589,3000,89,105,2.7,3.7
LP2773131,3000,131,73,2.7,3.7
LP2796105,3200,105,96,2.7,3.7
LP27100102,3500,102,100,2.7,3.7
LP27105105,3500,105,105,2.7,3.7
LP2763148,3500,148,63,2.7,3.7
LP2763156,3700,156,63,2.7,3.7
LP2794137,4000,137,94,2.7,3.7
LP27105120,4450,120,105,2.7,3.7
LP27108150,5000,150,108,2.7,3.7
LP281221,60,21,12,2.8,3.7
LP281622,60,22,16,2.8,3.7
LP281228,70,28,12,2.8,3.7
LP282018,75,18,20,2.8,3.7
LP281728,90,28,17,2.8,3.7
LP282022,90,22,20,2.8,3.7
LP282730,160,30,27,2.8,3.7
LP282335,200,35,23,2.8,3.7
LP283034,250,34,30,2.8,3.7
LP283040,280,40,30,2.8,3.7
LP284050,470,50,40,2.8,3.7
LP283256,500,56,32,2.8,3.7
LP282678,600,78,26,2.8,3.7
LP283168,610,68,31,2.8,3.7
LP284052,700,52,40,2.8,3.7
LP284154,740,54,41,2.8,3.7
LP284358,750,58,43,2.8,3.7
LP284362,800,62,43,2.8,3.7
LP285070,1100,70,50,2.8,3.7
LP285192,1500,92,51,2.8,3.7
LP286172,1500,72,61,2.8,3.7
LP286380,1600,80,63,2.8,3.7
LP2864113,1850,113,64,2.8,3.7
LP2865113,1850,113,65,2.8,3.7
LP2863101,1950,101,63,2.8,3.7
LP287090,2000,90,70,2.8,3.7
LP287095,2200,95,70,2.8,3.7
LP288484,2200,84,84,2.8,3.7
LP2855133,2400,133,55,2.8,3.7
LP2870120,2800,120,70,2.8,3.7
LP2810088,2900,88,100,2.8,3.7
LP2880108,2900,108,80,2.8,3.7
LP2810097,3200,97,100,2.8,3.7
LP2869140,3200,140,69,2.8,3.7
LP289999,3200,99,99,2.8,3.7
LP28100113,3500,113,100,2.8,3.7
LP2894128,3500,128,94,2.8,3.7
LP2892147,4000,147,92,2.8,3.7
LP2877149,4400,149,77,2.8,3.7
LP2884157,4400,157,84,2.8,3.7
LP2875180,4500,180,75,2.8,3.7
LP291718,45,18,17,2.9,3.7
LP291126,70,26,11,2.9,3.7
LP291430,80,30,14,2.9,3.7
LP292125,120,25,21,2.9,3.7
LP293442,380,42,34,2.9,3.7
LP293345,400,45,33,2.9,3.7
LP293560,500,60,35,2.9,3.7
LP294347,550,47,43,2.9,3.7
LP294649,800,49,46,2.9,3.7
LP294366,1000,66,43,2.9,3.7
LP294575,1100,75,45,2.9,3.7
LP293996,1300,96,39,2.9,3.7
LP296068,1300,68,60,2.9,3.7
LP298640,1400,40,86,2.9,3.7
LP298645,1400,45,86,2.9,3.7
LP2939113,1500,113,39,2.9,3.7
LP2942104,1500,104,42,2.9,3.7
LP295386,1500,86,53,2.9,3.7
LP295968,1500,68,59,2.9,3.7
LP296269,1750,69,62,2.9,3.7
LP296182,2000,82,61,2.9,3.7
LP296985,2000,85,69,2.9,3.7
LP2946110,2100,110,46,2.9,3.7
LP296794,2300,94,67,2.9,3.7
LP295895,2350,95,58,2.9,3.7
LP2953133,2450,133,53,2.9,3.7
LP298088,2500,88,80,2.9,3.7
LP299183,2600,83,91,2.9,3.7
LP298593,2700,93,85,2.9,3.7
LP298890,2700,90,88,2.9,3.7
LP2962143,3300,143,62,2.9,3.7
LP2975140,3400,140,75,2.9,3.7
LP2969140,3700,140,69,2.9,3.7
LP2910590,3850,90,105,2.9,3.7
LP2984135,3900,135,84,2.9,3.7
LP2970143,4000,143,70,2.9,3.7
LP2990135,4000,135,90,2.9,3.7
LP2982139,4200,139,82,2.9,3.7
LP2991142,4500,142,91,2.9,3.7
LP2988153,4600,153,88,2.9,3.7
LP301016,25,16,10,3,3.7
LP301215,30,15,12,3,3.7
LP301218,30,18,12,3,3.7
LP301315,30,15,13,3,3.7
LP301044,40,44,10,3,3.7
LP301221,40,21,12,3,3.7
LP301415,40,15,14,3,3.7
LP301515,40,15,15,3,3.7
LP301518,40,18,15,3,3.7
LP301022,45,22,10,3,3.7
LP301418,45,18,14,3,3.7
LP301225,55,25,12,3,3.7
LP301419,55,19,14,3,3.7
LP301519,55,19,15,3,3.7
LP301520,55,20,15,3,3.7
LP301025,60,25,10,3,3.7
LP301028,60,28,10,3,3.7
LP301030,60,30,10,3,3.7
LP301125,60,25,11,3,3.7
LP301321,60,21,13,3,3.7
LP301323,65,23,13,3,3.7
LP301522,65,22,15,3,3.7
LP300845,70,45,8,3,3.7
LP300936,70,36,9,3,3.7
LP301422,75,22,14,3,3.7
LP301033,80,33,10,3,3.7
LP301224,80,24,12,3,3.7
LP301525,80,25,15,3,3.7
LP301820,80,20,18,3,3.7
LP301821,80,21,18,3,3.7
LP302020,80,20,20,3,3.7
LP301140,90,40,11,3,3.7
LP301324,90,24,13,3,3.7
LP302022,90,22,20,3,3.7
LP301530,95,30,15,3,3.7
LP301925,95,25,19,3,3.7
LP303116,95,16,31,3,3.7
LP301045,100,45,10,3,3.7
LP301050,100,50,10,3,3.7
LP301226,100,26,12,3,3.7
LP301723,100,23,17,3,3.7
LP301728,110,28,17,3,3.7
LP301828,110,28,18,3,3.7
LP302025,110,25,20,3,3.7
LP302323,110,23,23,3,3.7
LP301730,120,30,17,3,3.7
LP303232,120,32,32,3,3.7
LP302028,140,28,20,3,3.7
LP302030,140,30,20,3,3.7
LP303321,145,21,33,3,3.7
LP302228,150,28,22,3,3.7
LP302035,160,35,20,3,3.7
LP301738,170,38,17,3,3.7
LP302235,170,35,22,3,3.7
LP301360,180,60,13,3,3.7
LP301847,180,47,18,3,3.7
LP302430,180,30,24,3,3.7
LP302528,180,28,25,3,3.7
LP302529,180,29,25,3,3.7
LP302530,180,30,25,3,3.7
LP302628,180,28,26,3,3.7
LP302426,190,26,24,3,3.7
LP302428,190,28,24,3,3.7
LP301452,200,52,14,3,3.7
LP301745,200,45,17,3,3.7
LP302040,200,40,20,3,3.7
LP302830,210,30,28,3,3.7
LP303030,210,30,30,3,3.7
LP302045,220,45,20,3,3.7
LP302535,220,35,25,3,3.7
LP303424,220,24,34,3,3.7
LP302630,250,30,26,3,3.7
LP303032,250,32,30,3,3.7
LP301848,260,48,18,3,3.7
LP301850,260,50,18,3,3.7
LP302247,260,47,22,3,3.7
LP302540,260,40,25,3,3.7
LP302053,280,53,20,3,3.7
LP302934,280,34,29,3,3.7
LP303530,290,30,35,3,3.7
LP303040,300,40,30,3,3.7
LP303035,310,35,30,3,3.7
LP303442,350,42,34,3,3.7
LP303048,400,48,30,3,3.7
LP303049,400,49,30,3,3.7
LP303540,400,40,35,3,3.7
LP303839,400,39,38,3,3.7
LP303840,400,40,38,3,3.7
LP303448,420,48,34,3,3.7
LP303539,450,39,35,3,3.7
LP302575,460,75,25,3,3.7
LP304040,480,40,40,3,3.7
LP302287,500,87,22,3,3.7
LP303450,500,50,34,3,3.7
LP303843,500,43,38,3,3.7
LP304045,500,45,40,3,3.7
LP304048,560,48,40,3,3.7
LP302870,580,70,28,3,3.7
LP303366,600,66,33,3,3.7
LP303560,600,60,35,3,3.7
LP303562,600,62,35,3,3.7
LP304050,600,50,40,3,3.7
LP303759,650,59,37,3,3.7
LP305048,750,48,50,3,3.7
LP303079,780,79,30,3,3.7
LP303080,780,80,30,3,3.7
LP304060,800,60,40,3,3.7
LP304265,800,65,42,3,3.7
LP304362,800,62,43,3,3.7
LP304064,900,64,40,3,3.7
LP305055,900,55,50,3,3.7
LP305060,900,60,50,3,3.7
LP303969,1000,69,39,3,3.7
LP304468,1000,68,44,3,3.7
LP304080,1100,80,40,3,3.7
LP304575,1100,75,45,3,3.7
LP3035113,1350,113,35,3,3.7
LP3032149,1400,149,32,3,3.7
LP303694,1400,94,36,3,3.7
LP303696,1400,96,36,3,3.7
LP305868,1400,68,58,3,3.7
LP306465,1450,65,64,3,3.7
LP305285,1500,85,52,3,3.7
LP305971,1700,71,59,3,3.7
LP306271,1750,71,62,3,3.7
LP3045111,2000,111,45,3,3.7
LP3045135,2000,135,45,3,3.7
LP305779,2000,79,57,3,3.7
LP3046113,2080,113,46,3,3.7
LP307089,2200,89,70,3,3.7
LP307090,2200,90,70,3,3.7
LP3058129,2350,129,58,3,3.7
LP3070100,2400,100,70,3,3.7
LP307098,2400,98,70,3,3.7
LP3062110,2500,110,62,3,3.7
LP3066100,2500,100,66,3,3.7
LP307095,2500,95,70,3,3.7
LP307595,2500,95,75,3,3.7
LP308078,2500,78,80,3,3.7
LP308088,2500,88,80,3,3.7
LP3068105,2650,105,68,3,3.7
LP3049118,2750,118,49,3,3.7
LP3063121,2800,121,63,3,3.7
LP3069110,2800,110,69,3,3.7
LP3075112,2800,112,75,3,3.7
LP3075114,2800,114,75,3,3.7
LP3090110,3000,110,90,3,3.7
LP309083,3000,83,90,3,3.7
LP309590,3000,90,95,3,3.7
LP3098100,3400,100,98,3,3.7
LP3078130,3500,130,78,3,3.7
LP3067156,3900,156,67,3,3.7
LP3065153,4000,153,65,3,3.7
LP3082123,4000,123,82,3,3.7
LP3083160,4000,160,83,3,3.7
LP3086142,4300,142,86,3,3.7
LP3090135,4300,135,90,3,3.7
LP3075143,4400,143,75,3,3.7
LP3083170,4500,170,83,3,3.7
LP3074165,4550,165,74,3,3.7
LP3095123,5000,123,95,3,3.7
LP311013,23,13,10,3.1,3.7
LP311222,60,22,12,3.1,3.7
LP311817,60,17,18,3.1,3.7
LP311436,120,36,14,3.1,3.7
LP312326,190,26,23,3.1,3.7
LP313424,200,24,34,3.1,3.7
LP312239,230,39,22,3.1,3.7
LP312539,320,39,25,3.1,3.7
LP313450,460,50,34,3.1,3.7
LP313743,550,43,37,3.1,3.7
LP314055,800,55,40,3.1,3.7
LP313760,900,60,37,3.1,3.7
LP314362,900,62,43,3.1,3.7
LP313993,1300,93,39,3.1,3.7
LP315172,1300,72,51,3.1,3.7
LP315867,1600,67,58,3.1,3.7
LP316268,1700,68,62,3.1,3.7
LP315885,1900,85,58,3.1,3.7
LP315890,1900,90,58,3.1,3.7
LP315779,2000,79,57,3.1,3.7
LP317093,2000,93,70,3.1,3.7
LP3146110,2080,110,46,3.1,3.7
LP3145110,2100,110,45,3.1,3.7
LP3149119,2100,119,49,3.1,3.7
LP316492,2500,92,64,3.1,3.7
LP3148118,2750,118,48,3.1,3.7
LP319082,2750,82,90,3.1,3.7
LP3160135,3000,135,60,3.1,3.7
LP3163136,3000,136,63,3.1,3.7
LP319985,3100,85,99,3.1,3.7
LP3176126,3600,126,76,3.1,3.7
LP3180125,3700,125,80,3.1,3.7
LP31104138,6000,138,104,3.1,3.7
LP321119,45,19,11,3.2,3.7
LP321417,45,17,14,3.2,3.7
LP321027,60,27,10,3.2,3.7
LP321322,70,22,13,3.2,3.7
LP321522,70,22,15,3.2,3.7
LP321524,70,24,15,3.2,3.7
LP323125,75,25,31,3.2,3.7
LP321323,80,23,13,3.2,3.7
LP321324,85,24,13,3.2,3.7
LP321325,85,25,13,3.2,3.7
LP321229,90,29,12,3.2,3.7
LP321730,100,30,17,3.2,3.7
LP322022,100,22,20,3.2,3.7
LP322225,110,25,22,3.2,3.7
LP321532,125,32,15,3.2,3.7
LP322025,130,25,20,3.2,3.7
LP321343,140,43,13,3.2,3.7
LP322328,150,28,23,3.2,3.7
LP321445,160,45,14,3.2,3.7
LP322224,160,24,22,3.2,3.7
LP322826,175,26,28,3.2,3.7
LP322424,200,24,24,3.2,3.7
LP322724,200,24,27,3.2,3.7
LP323030,200,30,30,3.2,3.7
LP321650,220,50,16,3.2,3.7
LP322238,230,38,22,3.2,3.7
LP322730,240,30,27,3.2,3.7
LP322438,250,38,24,3.2,3.7
LP321672,320,72,16,3.2,3.7
LP321863,320,63,18,3.2,3.7
LP322544,320,44,25,3.2,3.7
LP322545,320,45,25,3.2,3.7
LP322550,340,50,25,3.2,3.7
LP323442,400,42,34,3.2,3.7
LP323240,450,40,32,3.2,3.7
LP323538,450,38,35,3.2,3.7
LP323450,500,50,34,3.2,3.7
LP324085,1200,85,40,3.2,3.7
LP325774,1600,74,57,3.2,3.7
LP326372,1650,72,63,3.2,3.7
LP3244103,1700,103,44,3.2,3.7
LP326077,1700,77,60,3.2,3.7
LP323996,1800,96,39,3.2,3.7
LP325592,1900,92,55,3.2,3.7
LP325990,2000,90,59,3.2,3.7
LP326078,2000,78,60,3.2,3.7
LP326080,2000,80,60,3.2,3.7
LP326690,2000,90,66,3.2,3.7
LP326879,2000,79,68,3.2,3.7
LP327093,2100,93,70,3.2,3.7
LP3242111,2200,111,42,3.2,3.7
LP325987,2200,87,59,3.2,3.7
LP326088,2250,88,60,3.2,3.7
LP327090,2400,90,70,3.2,3.7
LP3246143,2500,143,46,3.2,3.7
LP3246150,2500,150,46,3.2,3.7
LP3256118,2500,118,56,3.2,3.7
LP3251120,2600,120,51,3.2,3.7
LP3248119,2700,119,48,3.2,3.7
LP327595,2800,95,75,3.2,3.7
LP3260130,2850,130,60,3.2,3.7
LP3260107,2900,107,60,3.2,3.7
LP328686,2900,86,86,3.2,3.7
LP3260109,3000,109,60,3.2,3.7
LP3262126,3000,126,62,3.2,3.7
LP3259140,3100,140,59,3.2,3.7
LP3264138,3300,138,64,3.2,3.7
LP3265155,4000,155,65,3.2,3.7
LP3293105,4000,105,93,3.2,3.7
LP3278137,4100,137,78,3.2,3.7
LP3263158,4200,158,63,3.2,3.7
LP3280140,4300,140,80,3.2,3.7
LP3296117,4300,117,96,3.2,3.7
LP32103100,5000,100,103,3.2,3.7
LP331217,42,17,12,3.3,3.7
LP330833,50,33,8,3.3,3.7
LP331614,50,14,16,3.3,3.7
LP330930,70,30,9,3.3,3.7
LP331030,70,30,10,3.3,3.7
LP331222,70,22,12,3.3,3.7
LP331530,110,30,15,3.3,3.7
LP331440,160,40,14,3.3,3.7
LP332030,180,30,20,3.3,3.7
LP332224,180,24,22,3.3,3.7
LP332430,180,30,24,3.3,3.7
LP332730,220,30,27,3.3,3.7
LP332238,230,38,22,3.3,3.7
LP332832,250,32,28,3.3,3.7
LP332141,270,41,21,3.3,3.7
LP332830,300,30,28,3.3,3.7
LP333743,400,43,37,3.3,3.7
LP333350,500,50,33,3.3,3.7
LP333840,520,40,38,3.3,3.7
LP333450,550,50,34,3.3,3.7
LP334148,700,48,41,3.3,3.7
LP334150,700,50,41,3.3,3.7
LP334060,950,60,40,3.3,3.7
LP335580,1300,80,55,3.3,3.7
LP333993,1400,93,39,3.3,3.7
LP3338110,1600,110,38,3.3,3.7
LP336395,1600,95,63,3.3,3.7
LP333995,1650,95,39,3.3,3.7
LP333891,1700,91,38,3.3,3.7
LP333895,1810,95,38,3.3,3.7
LP333996,1810,96,39,3.3,3.7
LP3346106,2000,106,46,3.3,3.7
LP336182,2000,82,61,3.3,3.7
LP336974,2000,74,69,3.3,3.7
LP337089,2000,89,70,3.3,3.7
LP336392,2200,92,63,3.3,3.7
LP3342112,2300,112,42,3.3,3.7
LP337090,2400,90,70,3.3,3.7
LP337093,2400,93,70,3.3,3.7
LP3353148,2500,148,53,3.3,3.7
LP336383,2500,83,63,3.3,3.7
LP336890,2500,90,68,3.3,3.7
LP336893,2500,93,68,3.3,3.7
LP337595,2500,95,75,3.3,3.7
LP337784,2500,84,77,3.3,3.7
LP337095,2600,95,70,3.3,3.7
LP337284,2650,84,72,3.3,3.7
LP3374108,2650,108,74,3.3,3.7
LP3379107,2650,107,79,3.3,3.7
LP338274,2650,74,82,3.3,3.7
LP3349109,2700,109,49,3.3,3.7
LP3359125,2700,125,59,3.3,3.7
LP3348119,2915,119,48,3.3,3.7
LP3356110,3000,110,56,3.3,3.7
LP338578,3000,78,85,3.3,3.7
LP338983,3000,83,89,3.3,3.7
LP3364127,3500,127,64,3.3,3.7
LP3310686,3600,86,106,3.3,3.7
LP3369140,3750,140,69,3.3,3.7
LP3372138,3900,138,72,3.3,3.7
LP3374123,3950,123,74,3.3,3.7
LP3374122,4000,122,74,3.3,3.7
LP33102108,4500,108,102,3.3,3.7
LP341114,25,14,11,3.4,3.7
LP341117,40,17,11,3.4,3.7
LP341427,80,27,14,3.4,3.7
LP341328,90,28,13,3.4,3.7
LP341422,90,22,14,3.4,3.7
LP341921,120,21,19,3.4,3.7
LP342323,130,23,23,3.4,3.7
LP342430,200,30,24,3.4,3.7
LP342530,200,30,25,3.4,3.7
LP343030,250,30,30,3.4,3.7
LP343031,250,31,30,3.4,3.7
LP342428,270,28,24,3.4,3.7
LP341752,275,52,17,3.4,3.7
LP342734,310,34,27,3.4,3.7
LP343840,500,40,38,3.4,3.7
LP344340,600,40,43,3.4,3.7
LP344243,730,43,42,3.4,3.7
LP343462,750,62,34,3.4,3.7
LP344265,1000,65,42,3.4,3.7
LP345172,1400,72,51,3.4,3.7
LP343996,1500,96,39,3.4,3.7
LP346175,1600,75,61,3.4,3.7
LP3439114,1800,114,39,3.4,3.7
LP343993,1820,93,39,3.4,3.7
LP346166,1850,66,61,3.4,3.7
LP345098,1900,98,50,3.4,3.7
LP346869,1900,69,68,3.4,3.7
LP345197,2000,97,51,3.4,3.7
LP345788,2000,88,57,3.4,3.7
LP346090,2000,90,60,3.4,3.7
LP346385,2000,85,63,3.4,3.7
LP3480108,2000,108,80,3.4,3.7
LP3449109,2100,109,49,3.4,3.7
LP3447107,2200,107,47,3.4,3.7
LP3453103,2200,103,53,3.4,3.7
LP3456110,2200,110,56,3.4,3.7
LP345776,2200,76,57,3.4,3.7
LP345986,2200,86,59,3.4,3.7
LP346595,2200,95,65,3.4,3.7
LP3449118,2300,118,49,3.4,3.7
LP346087,2310,87,60,3.4,3.7
LP3442111,2350,111,42,3.4,3.7
LP3446134,2500,134,46,3.4,3.7
LP347098,2500,98,70,3.4,3.7
LP3477108,2500,108,77,3.4,3.7
LP346893,2600,93,68,3.4,3.7
LP3470100,2600,100,70,3.4,3.7
LP347595,2600,95,75,3.4,3.7
LP347988,2800,88,79,3.4,3.7
LP347993,2900,93,79,3.4,3.7
LP348090,2900,90,80,3.4,3.7
LP3449119,2915,119,49,3.4,3.7
LP3455129,3000,129,55,3.4,3.7
LP3455131,3000,131,55,3.4,3.7
LP346896,3000,96,68,3.4,3.7
LP349187,3200,87,91,3.4,3.7
LP3447148,3400,148,47,3.4,3.7
LP3475124,3750,124,75,3.4,3.7
LP34103100,4200,100,103,3.4,3.7
LP350812,15,12,8,3.5,3.7
LP351213,35,13,12,3.5,3.7
LP351019,40,19,10,3.5,3.7
LP351121,40,21,11,3.5,3.7
LP351315,40,15,13,3.5,3.7
LP350826,45,26,8,3.5,3.7
LP351120,45,20,11,3.5,3.7
LP351219,50,19,12,3.5,3.7
LP351915,50,15,19,3.5,3.7
LP350923,55,23,9,3.5,3.7
LP350925,57,25,9,3.5,3.7
LP350829,60,29,8,3.5,3.7
LP350830,60,30,8,3.5,3.7
LP350926,60,26,9,3.5,3.7
LP351024,60,24,10,3.5,3.7
LP351028,60,28,10,3.5,3.7
LP351220,60,20,12,3.5,3.7
LP351223,60,23,12,3.5,3.7
LP350833,70,33,8,3.5,3.7
LP351030,70,30,10,3.5,3.7
LP350929,75,29,9,3.5,3.7
LP350835,80,35,8,3.5,3.7
LP351225,80,25,12,3.5,3.7
LP351230,80,30,12,3.5,3.7
LP351325,80,25,13,3.5,3.7
LP351420,80,20,14,3.5,3.7
LP351423,80,23,14,3.5,3.7
LP351520,80,20,15,3.5,3.7
LP351521,80,21,15,3.5,3.7
LP350840,85,40,8,3.5,3.7
LP351125,85,25,11,3.5,3.7
LP351425,85,25,14,3.5,3.7
LP350939,90,39,9,3.5,3.7
LP351032,90,32,10,3.5,3.7
LP351038,90,38,10,3.5,3.7
LP351327,90,27,13,3.5,3.7
LP351330,90,30,13,3.5,3.7
LP351422,90,22,14,3.5,3.7
LP351623,90,23,16,3.5,3.7
LP351824,90,24,18,3.5,3.7
LP351133,100,33,11,3.5,3.7
LP351135,100,35,11,3.5,3.7
LP351525,100,25,15,3.5,3.7
LP351624,100,24,16,3.5,3.7
LP351730,120,30,17,3.5,3.7
LP351626,130,26,16,3.5,3.7
LP351729,130,29,17,3.5,3.7
LP352025,130,25,20,3.5,3.7
LP351534,135,34,15,3.5,3.7
LP352323,135,23,23,3.5,3.7
LP352525,160,25,25,3.5,3.7
LP351448,170,48,14,3.5,3.7
LP351735,170,35,17,3.5,3.7
LP352522,175,22,25,3.5,3.7
LP351438,180,38,14,3.5,3.7
LP351738,180,38,17,3.5,3.7
LP351740,180,40,17,3.5,3.7
LP351445,200,45,14,3.5,3.7
LP351455,200,55,14,3.5,3.7
LP352035,200,35,20,3.5,3.7
LP352530,200,30,25,3.5,3.7
